Date,Open,High,Low,Close,Adj Close,Volume
30-Apr-20,24.89,25.89,24.5,24.81,24.81,836300
1-May-20,24.81,25.8,22.66,23.06,23.06,889600
4-May-20,22.51,24.83,22.16,24.57,24.57,769900
5-May-20,25.33,26.1,24.11,24.24,24.24,599200
6-May-20,24.41,24.77,23.29,23.5,23.5,482500
7-May-20,24.22,24.52,23.87,24.19,24.19,586800
8-May-20,24.61,25.05,24.39,24.6,24.6,582000
11-May-20,24.21,25.36,24.09,25.16,25.16,568100
12-May-20,25.43,26.1,25.27,25.78,25.78,636700
13-May-20,25.78,25.78,22.3,22.92,22.92,804100
14-May-20,22.31,23.21,21.65,23.15,23.15,651200
15-May-20,23.13,24.13,22.79,24.02,24.02,352200
18-May-20,25.57,26,25.41,25.78,25.78,687100
19-May-20,25.91,27.45,25.72,26.32,26.32,571000
20-May-20,26.4,27.29,25.83,26.16,26.16,468800
21-May-20,26.1,27.63,25.81,27.19,27.19,682100
22-May-20,27.54,27.6,26.51,26.81,26.81,359700
26-May-20,27.38,27.8,26.69,27.15,27.15,509600
27-May-20,27.74,29.19,26.94,29.1,29.1,540300
28-May-20,29.77,30.34,27.87,28.04,28.04,674500
29-May-20,27.84,28.63,27.14,28.45,28.45,587800
1-Jun-20,28.5,28.74,27.97,28.02,28.02,434900
2-Jun-20,28.43,29.83,28.05,29.72,29.72,583900
3-Jun-20,29.96,30,28.48,29.04,29.04,872100
4-Jun-20,28.59,29.61,28.39,29.57,29.57,493700
5-Jun-20,30,32.35,30,31.85,31.85,924600
8-Jun-20,32.08,32.89,31.79,32.41,32.41,820800
9-Jun-20,31.69,32.81,31.11,32.58,32.58,542900
10-Jun-20,32.37,32.82,31.23,31.28,31.28,752000
11-Jun-20,29.01,29.53,26.93,27.04,27.04,689000
12-Jun-20,28.25,28.5,26.8,27.4,27.4,520200
15-Jun-20,26.53,28.11,25.66,27.91,27.91,572000
16-Jun-20,29.37,30.07,28.01,28.33,28.33,487400
17-Jun-20,28.51,28.57,27.07,27.63,27.63,602200
18-Jun-20,27.38,28.58,27.25,28.41,28.41,387900
19-Jun-20,29.33,29.33,27.99,28.23,28.23,1267100
22-Jun-20,27.96,28.22,26.89,28.05,28.05,445600
23-Jun-20,28.58,28.9,28.13,28.58,28.58,371000
24-Jun-20,25.41,26.43,22.55,22.73,22.73,3192000
25-Jun-20,23.25,23.43,22.13,23.04,23.04,1803500
26-Jun-20,22.91,23.19,22.1,22.31,22.31,1143500
29-Jun-20,22.9,24.57,22.7,24.25,24.25,983400
30-Jun-20,24,24.95,23.59,24.78,24.78,807100
